ردیف	سالن	دستگاه	توضیح دستگاه	کد	نوع توقف	تاریخ توقف	زمان شروع توقف	تاریخ پایان توقف	زمان پایان توقف	سال رفع توقف	فصل رفع توقف	ماه رفع توقف	روز رفع توقف	ساعت رفع توقف	دقیقه رفع توقف	زمان رفع توقف	شرح توقف	TTR(mints)	مبنا MTTR	هدف MTTR	مبنا MTBF	هدف MTBF	TBF(hours)	زمان آخرین رفع توقف قبل از توقف فعلی
1	 سالن تولید رول کاغذ حرارتی	ماشین برش 1	Cutting Machine1	TR-CM-01	حین تولید	1403/05/01	0:00	1403/09/19	19:05	1403	پاییز	9	19	19	5	737798105		3379.08	24	0.2	360	720		
2	   سالن  تولید تجهیزات الکترونیکی	چسب زن AMP 8200	Glue injector AMP 8200	EDP-GI-02	حین تولید	1403/07/17	10:13	1403/07/17	12:40	1403	پاییز	7	17	12	40	737708440	خرابی رله	2.45	24	0.2	360	720		
3	زیر ساخت	سیستم گردش آب سالن تزریق 		SS-WC-01	حین تولید	1403/08/08	20:30	1403/08/08	21:07	1403	پاییز	8	08	21	7	737739187	سوراخ شدن لوله گالوانیزه آب	0.62	24	0.2	360	720		
4	 سالن تولید رول کاغذ حرارتی	 شرینک 2	Shrink2	TR-SH-02	حین تولید	1403/08/10	12:30	1403/08/12	9:00	1403	پاییز	8	12	9	0	737744220	خرابی گیربکس موتور به دلیل کمبود روغن	44.50	24	0.2	360	720		
5	 سالن تولید رول کاغذ حرارتی	 شرینک 1	Shrink1	TR-SH-01	حین تولید	1403/08/16	17:39	1403/08/16	17:40	1403	پاییز	8	16	17	40	737750500	خرابی گیربکس موتور به دلیل کمبود روغن	0.02	24	0.2	360	720		
6	 سالن تولید رول کاغذ حرارتی	ماشین برش 4	Cutting Machine4	TR-CM-04	برنامه ریزی شده	1403/08/18	9:00	1403/09/17	17:53	1403	پاییز	9	17	17	53	737795153	استفاده از قطعه جهت دستگاهی دیگر	704.88	24	0.2	360	720		
7	 سالن تولید رول کاغذ حرارتی	ماشین چاپ 2 (فلکسوگرافی)	(Flexographic) Printing Machine2	TR-PM-02	حین تولید	1403/09/04	13:45	1403/09/09	15:00	1403	پاییز	9	09	15	0	737783460	شکستن شفت بادی	121.25	24	0.2	360	720		
8	 سالن تولید رول کاغذ حرارتی	ماشین برش 2	Cutting Machine2	TR-CM-02	حین تولید	1403/09/05	8:00	1403/09/18	13:48	1403	پاییز	9	18	13	48	737796348		317.80	24	0.2	360	720		
12	 سالن تولید رول کاغذ حرارتی	ماشین برش 3	Cutting Machine3	TR-CM-03	حین تولید	1403/09/14	9:34	1403/09/17	12:02	1403	پاییز	9	17	12	2	737794802	خرابی شفت ها فولی وچرخ دندها	74.47	24	0.2	360	720		
13	  سالن تولید بردهای الکترونیکی	دستگاه نیتروژن ساز	NITROGEN GENERATOR	AB-NG-01	حین تولید	1403/09/14	10:29	1403/09/14	11:00	1403	پاییز	9	14	11	0	737790420	نامعلوم	0.52	24	0.2	360	720		
14	  سالن تولید بردهای الکترونیکی	ماشین لحیم کاری هوای داغ	Nitrogen Reflow Oven	AB-NO-01	حین تولید	1403/09/17	11:04	1403/09/17	11:05	1403	پاییز	9	17	11	5	737794745	در حال بررسی مشکل با گراندیل	0.02	24	0.2	360	720		
15	  سالن تولید بردهای الکترونیکی	ماشین تعویض سینی قطعات	Tray Changer	AB-TC-01	حین تولید	1403/09/19	0:37	1403/09/19	2:10	1403	پاییز	9	19	2	10	737797090	نامعلوم - با چندبار روشن و خاموش کردن دستگاه مشکل برطرف شد	1.55	24	0.2	360	720		
16	  سالن تولید بردهای الکترونیکی	ماشین تعویض سینی قطعات	Tray Changer	AB-TC-02	حین تولید	1403/09/19	7:34	1403/09/19	8:00	1403	پاییز	9	19	8	0	737797440		0.43	#N/A	#N/A	360	#N/A		
17	   سالن  تولید تجهیزات الکترونیکی	 شرینک 1	Shrink1	EDP-SH-01	حین تولید	1403/09/26	15:50	1403/09/27	9:45	1403	پاییز	9	27	9	45	737809065	خرابی بلبرینگ شفت	17.92	24	0.2	360	720		
18	  سالن تولید بردهای الکترونیکی	چاپگر چسب/خمیر قلع	Vision Screen Printer	AB-VSP-01	حین تولید	1403/09/29	8:16	1403/09/30	1:30	1403	پاییز	9	30	1	30	737812890	ازتنظیم خارج شدن سنسور	17.23	24	0.2	360	720		
19	  سالن تولید بردهای الکترونیکی	ماشین تعویض سینی قطعات	Tray Changer	AB-TC-01	حین تولید	1403/09/30	13:18	1403/09/30	21:20	1403	پاییز	9	30	21	20	737814080	نامعلوم- با ریست و جدا ووصل ماژول مشکل برطرف شد و هماهنگی لازم انجام شده جهت حضور شرکت گراندیل در 2آذر و رفع ایراد این دستگاه 	8.03	24	0.2	360	720	275.13	737797090
20	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری2	Peak&Place Machine 2	AB-PP-03	حین تولید	1403/10/03	11:27	1403/10/03	12:52	1403	زمستان	10	03	12	52	737817892	شکستن یکی از نازل ماژول 1	1.42	24	0.2	360	720		
21	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری1	Peak&Place Machine 1	AB-PP-04	حین تولید	1403/10/04	11:58	1403/10/05	11:27	1403	زمستان	10	05	11	27	737820687	هد دستگاه pick&place گیر کردن میل راهنمای یکی از نازل های هد ماژول 1	23.48	24	0.2	360	720		
22	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری1	Peak&Place Machine 1	AB-PP-04	حین تولید	1403/10/09	23:40	1403/10/10	0:20	1403	زمستان	10	10	0	20	737827220	ما ژول 2 -مشکل هد دستگاه -یکی از نازل ها شکسته که باید تعویض بشه	0.67	24	0.2	360	720	108.22	737820687
23	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری1	Peak&Place Machine1	AB-PP-04	حین تولید	1403/10/10	1:50	1403/10/10	2:20	1403	زمستان	10	10	2	20	737827340	ما ژول 2 -مشکل هد دستگاه 	0.50	24	0.2	360	720	1.50	737827220
24	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری1	Peak&Place Machine1	AB-PP-04	حین تولید	1403/10/10	8:40	1403/10/10	15:47	1403	زمستان	10	10	15	47	737828147	" هولدر نازل دستگاه ۱ ماژول ۲ مشکل داشتن (یکی گیر داره، ۳ تا دوران موقعیت دارن) 
مشکل   رفع شد(با skip کردن هولدر های معیوب)"	7.12	24	0.2	360	720	6.33	737827340
25	  سالن تولید بردهای الکترونیکی	لحیم کاری هوا(کوره)	Air Soldering(Oven)	AB-AS-01	حین تولید	1403/10/10	12:18	1403/10/10	15:48	1403	زمستان	10	10	15	48	737828148	مشکل در کانوایر و ریل آن	3.50	24	0.2	360	720		
26	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری1	Peak&Place Machine1	AB-PP-04	حین تولید	1403/10/10	20:37	1403/10/12	14:00	1403	زمستان	10	12	14	0	737830920	ما ژول 2 -مشکل هد دستگاه / با تعویض هد و‌کالیبره ی دستگاه مشکل حل شد	41.38	24	0.2	360	720	4.83	737828147
27	  سالن تولید بردهای الکترونیکی	ماشین قطعه گذاری2	Peak&Place Machine2	AB-PP-05	حین تولید	1403/10/18	8:43	1403/10/19	17:00	1403	زمستان	10	19	17	0	737841180	مشکل نرم افزاری دستگاه pick&place ماشین ۲ ماژول ۲-) کارت ماژول خراب شده بود، تهیه و پروگرم و‌جایگزین شد	32.28	24	0.2	360	720		
28	سالن تزریق پلاستیک	رویه قالب 9200	رویه قالب 9200	X2	حین تولید	1403/10/18	15:00	1403/10/19	16:00	1403	زمستان	10	19	16	0	737841120	آسیب دیدگی رویه قالب 9200	25.00	#N/A	#N/A	360	#N/A		
29	 سالن تولید رول کاغذ حرارتی	مغزی پرکن2		X3	حین تولید	1403/11/24	8:00	1403/11/24	12:00	1403	زمستان	11	24	12	0	737891280		4.00	#N/A	#N/A	360	#N/A		
30	سالن تزریق پلاستیک	قالب کفی 9200	Insole 9200		حین تولید	1403/11/24	22:35	1403/11/25	14:00	1403	زمستان	11	25	14	0	737892840	گیر کردن کشویی 9200	15.42	#N/A	#N/A	360	#N/A		
31	   سالن  تولید تجهیزات الکترونیکی	کانوایرخط 1/1	Conveyor line 1/1	X5	حین تولید	1403/11/27	8:00	1403/11/27	8:17	1403	زمستان	11	27	8	17	737895377	خرابی کانوایر 	0.28	#N/A	#N/A	360	#N/A		
32	 سالن تولید رول کاغذ حرارتی	ماشین برش 2	Cutting Machine2	TR-CM-02	حین تولید	1403/12/04	21:50	1403/12/05	1:00	1403	زمستان	12	05	1	0	737906460	بریدن تسمه دستگاه برش 	3.17	24	0.2	360	720	1832.03	737796348
33	 سالن تولید رول کاغذ حرارتی	دستگاه مغزی پر کن2	Brain filler 2	TR-SH-02	حین تولید	1403/12/05	3:30	1403/12/05	15:00	1403	زمستان	12	05	15	0	737907300		11.50	24	0.2	360	720	2706.50	737744220
34	   سالن  تولید تجهیزات الکترونیکی	کانوایرخط 5/1	Conveyor line 5/1	EDP-CL-09	حین تولید	1403/12/07	11:30	1403/12/07	13:30	1403	زمستان	12	07	13	30	737910090	"یک لامپ کانوایر 5 سوخته و باعث پریدن فیوز می شود 
"	2.00	24	0.2	360	720		
35	 سالن تولید رول کاغذ حرارتی	ماشین چاپ 2 (فلکسوگرافی)	(Flexographic) Printing Machine2	TR-PM-02	حین تولید	1403/12/07	19:08	1403/12/07	20:34	1403	زمستان	12	07	20	34	737910514	خرابی بلبرینگ	1.43	24	0.2	360	720	2116.13	737783460
36	 سالن تولید رول کاغذ حرارتی	ماشین برش 1	Cutting Machine1	TR-CM-01	حین تولید	1403/12/08	22:09	1403/12/08	22:56	1403	زمستان	12	08	22	56	737912096	توقف برش۱ به علت خرابی شفت فولی	0.78	24	0.2	360	720	1899.07	737798105
37	  سالن تولید بردهای الکترونیکی	چاپگر چسب/خمیر قلع	Vision Screen Printer	AB-VSP-01	حین تولید	1403/12/09	14:07	1403/12/11	19:07	1403	زمستان	12	11	19	7	737916187	خرابی پرینتر (مشکل سنسور)	53.00	24	0.2	360	720	1668.62	737812890
38	 سالن تولید رول کاغذ حرارتی	ماشین برش 2	Cutting Machine2	TR-CM-02	حین تولید	1403/12/09	21:05	1403/12/09	21:10	1403	زمستان	12	09	21	10	737913430	تعویض شفت چرخ دندها	0.08	24	0.2	360	720	116.08	737906460
39	 سالن تولید رول کاغذ حرارتی	ماشین برش 2	Cutting Machine2	TR-CM-02	حین تولید	1403/12/10	12:50	1403/12/10	13:10	1403	زمستان	12	10	13	10	737914390	پریدن تیغه ها	0.33	24	0.2	360	720	15.67	737913430
40	  سالن تولید بردهای الکترونیکی	دستگاه نیتروژن ساز	NITROGEN GENERATOR	AB-NG-01	حین تولید	1403/12/11	22:38	1403/12/12	1:05	1403	زمستان	12	12	1	5	737916545	بالا رفتن دمای کمپرسور هوا	2.45	24	0.2	360	720	2099.63	737790420
41	 سالن تولید رول کاغذ حرارتی	ماشین برش 2	Cutting Machine2	TR-CM-02	حین تولید	1403/12/11	23:02	1403/12/12	1:05	1403	زمستان	12	12	1	5	737916545	بالا رفتن دمای کمپرسور هوا	2.05	24	0.2	360	720	33.87	737914390
42	 سالن تولید رول کاغذ حرارتی	ماشین برش 3	Cutting Machine3	TR-CM-03	حین تولید	1403/12/11	23:02	1403/12/12	1:05	1403	زمستان	12	12	1	5	737916545	بالا رفتن دمای کمپرسور هوا	2.05	24	0.2	360	720	2027.00	737794802
43	 سالن تولید رول کاغذ حرارتی	ماشین برش 4	Cutting Machine4	TR-CM-04	حین تولید	1403/12/11	23:02	1403/12/12	1:05	1403	زمستان	12	12	1	5	737916545	بالا رفتن دمای کمپرسور هوا	2.05	24	0.2	360	720	2021.15	737795153
44	 سالن تولید رول کاغذ حرارتی	ماشین برش 2	Cutting Machine2	TR-CM-02	حین تولید	1403/12/12	16:25	1403/12/12	17:50	1403	زمستان	12	12	17	50	737917550	بالا رفتن دمای کمپرسور هوا	1.42	24	0.2	360	720	15.33	737916545
45	 سالن تولید رول کاغذ حرارتی	ماشین برش 3	Cutting Machine3	TR-CM-03	حین تولید	1403/12/12	16:25	1403/12/12	17:50	1403	زمستان	12	12	17	50	737917550	بالا رفتن دمای کمپرسور هوا	1.42	24	0.2	360	720	15.33	737916545
46	 سالن تولید رول کاغذ حرارتی	ماشین برش 4	Cutting Machine4	TR-CM-04	حین تولید	1403/12/12	16:25	1403/12/12	17:50	1403	زمستان	12	12	17	50	737917550	بالا رفتن دمای کمپرسور هوا	1.42	24	0.2	360	720	15.33	737916545
47	  سالن تولید بردهای الکترونیکی	دستگاه نیتروژن ساز	NITROGEN GENERATOR	AB-NG-01	حین تولید	1403/12/12	16:00	1403/12/12	17:55	1403	زمستان	12	12	17	55	737917555	بالا رفتن دمای کمپرسور هوا	1.92	24	0.2	360	720	14.92	737916545
